Sample,Period,Year,NDVI,Stage
18,Q3,2021,0.4606635,Panen
19,Q3,2021,0.55476594,Panen
20,Q3,2021,0.11040227,Panen
21,Q3,2021,0.24051803,Panen
22,Q3,2021,0.6159358,Panen
23,Q3,2021,0.30706015,Panen
24,Q3,2021,0.33468014,Panen
25,Q3,2021,0.2740035,Panen
26,Q3,2021,0.43977657,Panen
27,Q3,2021,0.15034072,Panen
28,Q3,2021,0.24700817,Panen
29,Q3,2021,0.24555416,Panen
30,Q3,2021,0.5356382,Panen
31,Q3,2021,0.18449481,Panen
32,Q3,2021,0.27625167,Panen
33,Q3,2021,0.28657177,Panen
34,Q3,2021,0.55214906,Panen
35,Q3,2021,0.34380305,Panen
36,Q3,2021,0.52858305,Panen
37,Q3,2021,0.46566924,Panen
38,Q3,2021,0.47708198,Panen
39,Q3,2021,0.565243,Panen
40,Q3,2021,0.3282365,Panen
41,Q3,2021,0.31349054,Panen
42,Q3,2021,0.28437275,Panen
43,Q3,2021,0.30122325,Panen
44,Q3,2021,0.28408816,Panen
45,Q3,2021,0.36794356,Panen
46,Q3,2021,0.07510549,Panen
47,Q3,2021,0.34084508,Panen
48,Q3,2021,0.30813152,Panen
49,Q3,2021,0.13624471,Panen
50,Q3,2021,0.32876065,Panen
1,Q1,2022,0.68234575,Tunas
2,Q1,2022,0.46557912,Tunas
3,Q1,2022,0.53498065,Tunas
4,Q1,2022,0.5903308,Tunas
5,Q1,2022,0.5733042,Tunas
6,Q1,2022,0.5410798,Tunas
7,Q1,2022,0.55860347,Tunas
8,Q1,2022,0.62508,Tunas
9,Q1,2022,0.6573051,Tunas
10,Q1,2022,0.46557912,Tunas
11,Q1,2022,0.54967266,Tunas
12,Q1,2022,0.5646018,Tunas
13,Q1,2022,0.5723397,Tunas
14,Q1,2022,0.62463343,Tunas
15,Q1,2022,0.59301543,Tunas
16,Q1,2022,0.6846561,Tunas
17,Q1,2022,0.7915339,Tunas
18,Q1,2022,0.72103006,Tunas
19,Q1,2022,0.8412148,Tunas
20,Q1,2022,0.34876773,Tunas
21,Q1,2022,0.59787107,Tunas
22,Q1,2022,0.7963844,Tunas
23,Q1,2022,0.587341,Tunas
24,Q1,2022,0.65214705,Tunas
25,Q1,2022,0.21025641,Tunas
26,Q1,2022,0.8666667,Tunas
27,Q1,2022,0.5947541,Tunas
28,Q1,2022,0.5410226,Tunas
29,Q1,2022,0.6573051,Tunas
30,Q1,2022,0.6762266,Tunas
31,Q1,2022,0.3458084,Tunas
32,Q1,2022,0.81862944,Tunas
33,Q1,2022,0.6876914,Tunas
34,Q1,2022,0.78769886,Tunas
35,Q1,2022,0.8328889,Tunas
36,Q1,2022,0.62036455,Tunas
37,Q1,2022,0.53145057,Tunas
38,Q1,2022,0.80187875,Tunas
39,Q1,2022,0.8245614,Tunas
40,Q1,2022,0.23325975,Tunas
41,Q1,2022,0.67893595,Tunas
42,Q1,2022,0.5167702,Tunas
43,Q1,2022,0.38624,Tunas
44,Q1,2022,0.68263125,Tunas
45,Q1,2022,0.1875,Tunas
46,Q1,2022,0.62228703,Tunas
47,Q1,2022,0.38697088,Tunas
48,Q1,2022,0.3010239,Tunas
49,Q1,2022,0.3741598,Tunas
50,Q1,2022,0.62283516,Tunas
